layer                                     name  gradient   parameters                shape         mu      sigma
    0                      model.0.conv.weight     False          432        [16, 3, 3, 3]   -0.00314      0.162 torch.float32
    1                        model.0.bn.weight     False           16                 [16]       2.88       1.74 torch.float32
    2                          model.0.bn.bias     False           16                 [16]      0.422       4.84 torch.float32
    3                      model.1.conv.weight     False         4608       [32, 16, 3, 3]     0.0031     0.0834 torch.float32
    4                        model.1.bn.weight     False           32                 [32]       3.43      0.636 torch.float32
    5                          model.1.bn.bias     False           32                 [32]       1.22       1.84 torch.float32
    6                  model.2.cv1.conv.weight     False         1024       [32, 32, 1, 1]   -0.00683      0.108 torch.float32
    7                    model.2.cv1.bn.weight     False           32                 [32]       2.54      0.777 torch.float32
    8                      model.2.cv1.bn.bias     False           32                 [32]       0.93       1.43 torch.float32
    9                  model.2.cv2.conv.weight     False         3072       [64, 48, 1, 1]    -0.0118     0.0857 torch.float32
   10                    model.2.cv2.bn.weight     False           64                 [64]       1.62      0.731 torch.float32
   11                      model.2.cv2.bn.bias     False           64                 [64]     -0.199       1.28 torch.float32
   12              model.2.m.0.cv1.conv.weight     False         1152        [8, 16, 3, 3]   -0.00663     0.0733 torch.float32
   13                model.2.m.0.cv1.bn.weight     False            8                  [8]      0.914      0.365 torch.float32
   14                  model.2.m.0.cv1.bn.bias     False            8                  [8]       1.08       1.22 torch.float32
   15              model.2.m.0.cv2.conv.weight     False         1152        [16, 8, 3, 3]   0.000861     0.0768 torch.float32
   16                model.2.m.0.cv2.bn.weight     False           16                 [16]       2.61       0.65 torch.float32
   17                  model.2.m.0.cv2.bn.bias     False           16                 [16]       1.07       2.51 torch.float32
   18                      model.3.conv.weight     False        36864       [64, 64, 3, 3]   -0.00367     0.0544 torch.float32
   19                        model.3.bn.weight     False           64                 [64]      0.791      0.194 torch.float32
   20                          model.3.bn.bias     False           64                 [64]    -0.0735       1.01 torch.float32
   21                  model.4.cv1.conv.weight     False         4096       [64, 64, 1, 1]   -0.00454     0.0732 torch.float32
   22                    model.4.cv1.bn.weight     False           64                 [64]      0.734      0.242 torch.float32
   23                      model.4.cv1.bn.bias     False           64                 [64]      0.564       0.68 torch.float32
   24                  model.4.cv2.conv.weight     False        12288      [128, 96, 1, 1]   -0.00924     0.0628 torch.float32
   25                    model.4.cv2.bn.weight     False          128                [128]      0.788      0.164 torch.float32
   26                      model.4.cv2.bn.bias     False          128                [128]      -1.08      0.717 torch.float32
   27              model.4.m.0.cv1.conv.weight     False         4608       [16, 32, 3, 3]   -0.00654     0.0608 torch.float32
   28                model.4.m.0.cv1.bn.weight     False           16                 [16]      0.635      0.153 torch.float32
   29                  model.4.m.0.cv1.bn.bias     False           16                 [16]      0.148      0.894 torch.float32
   30              model.4.m.0.cv2.conv.weight     False         4608       [32, 16, 3, 3]   0.000471     0.0621 torch.float32
   31                model.4.m.0.cv2.bn.weight     False           32                 [32]      0.861      0.158 torch.float32
   32                  model.4.m.0.cv2.bn.bias     False           32                 [32]       1.66       1.06 torch.float32
   33                      model.5.conv.weight     False       147456     [128, 128, 3, 3]  -0.000899     0.0475 torch.float32
   34                        model.5.bn.weight     False          128                [128]      0.643      0.207 torch.float32
   35                          model.5.bn.bias     False          128                [128]     -0.269      0.972 torch.float32
